text,label,source_url
Barcelona,GPE,https://en.wikipedia.org/wiki/FC_Barcelona
Futbol Club Barcelona,PERSON,https://en.wikipedia.org/wiki/FC_Barcelona
Catalan,NORP,https://en.wikipedia.org/wiki/FC_Barcelona
Barcelona,PERSON,https://en.wikipedia.org/wiki/FC_Barcelona
Barça,PERSON,https://en.wikipedia.org/wiki/FC_Barcelona
Barcelona,GPE,https://en.wikipedia.org/wiki/FC_Barcelona
Catalonia,GPE,https://en.wikipedia.org/wiki/FC_Barcelona
Spain,GPE,https://en.wikipedia.org/wiki/FC_Barcelona
Spanish,NORP,https://en.wikipedia.org/wiki/FC_Barcelona
1899,DATE,https://en.wikipedia.org/wiki/FC_Barcelona
Swiss,NORP,https://en.wikipedia.org/wiki/FC_Barcelona
Catalan,NORP,https://en.wikipedia.org/wiki/FC_Barcelona
German,NORP,https://en.wikipedia.org/wiki/FC_Barcelona
English,NORP,https://en.wikipedia.org/wiki/FC_Barcelona
Joan Gamper,PERSON,https://en.wikipedia.org/wiki/FC_Barcelona
Catalan,NORP,https://en.wikipedia.org/wiki/FC_Barcelona
Catalanism,PERSON,https://en.wikipedia.org/wiki/FC_Barcelona
un,ORG,https://en.wikipedia.org/wiki/FC_Barcelona
Barcelona,GPE,https://en.wikipedia.org/wiki/FC_Barcelona
annual,DATE,https://en.wikipedia.org/wiki/FC_Barcelona
Barcelona,GPE,https://en.wikipedia.org/wiki/FC_Barcelona
Jaume Picas,PERSON,https://en.wikipedia.org/wiki/FC_Barcelona
Josep Maria,PERSON,https://en.wikipedia.org/wiki/FC_Barcelona
Barcelona,GPE,https://en.wikipedia.org/wiki/FC_Barcelona
Blaugrana,GPE,https://en.wikipedia.org/wiki/FC_Barcelona
Barcelona,GPE,https://en.wikipedia.org/wiki/FC_Barcelona
Barcelona,GPE,https://en.wikipedia.org/wiki/FC_Barcelona
Copa del Rey,ORG,https://en.wikipedia.org/wiki/FC_Barcelona
Supercopa de España,ORG,https://en.wikipedia.org/wiki/FC_Barcelona
Barça,PERSON,https://en.wikipedia.org/wiki/FC_Barcelona
European,NORP,https://en.wikipedia.org/wiki/FC_Barcelona
UEFA Champions League,ORG,https://en.wikipedia.org/wiki/FC_Barcelona
UEFA Cup Winners' Cups,ORG,https://en.wikipedia.org/wiki/FC_Barcelona
Inter-Cities Fairs Cups,ORG,https://en.wikipedia.org/wiki/FC_Barcelona
UEFA Super Cups,ORG,https://en.wikipedia.org/wiki/FC_Barcelona
Latin Cups,GPE,https://en.wikipedia.org/wiki/FC_Barcelona
Barcelona,GPE,https://en.wikipedia.org/wiki/FC_Barcelona
the International Federation of Football History & Statistics Club World Ranking,ORG,https://en.wikipedia.org/wiki/FC_Barcelona
1997,DATE,https://en.wikipedia.org/wiki/FC_Barcelona
2009,DATE,https://en.wikipedia.org/wiki/FC_Barcelona
2011,DATE,https://en.wikipedia.org/wiki/FC_Barcelona
2012,DATE,https://en.wikipedia.org/wiki/FC_Barcelona
2015,DATE,https://en.wikipedia.org/wiki/FC_Barcelona
UEFA,ORG,https://en.wikipedia.org/wiki/FC_Barcelona
May 2023[update].[8][9][10,DATE,https://en.wikipedia.org/wiki/FC_Barcelona
Real Madrid,ORG,https://en.wikipedia.org/wiki/FC_Barcelona
El Clásico,ORG,https://en.wikipedia.org/wiki/FC_Barcelona
Barcelona,GPE,https://en.wikipedia.org/wiki/FC_Barcelona
Barcelona,GPE,https://en.wikipedia.org/wiki/FC_Barcelona
Ballon,ORG,https://en.wikipedia.org/wiki/FC_Barcelona
Johan Cruyff,PERSON,https://en.wikipedia.org/wiki/FC_Barcelona
FIFA World Player,ORG,https://en.wikipedia.org/wiki/FC_Barcelona
Romário,GPE,https://en.wikipedia.org/wiki/FC_Barcelona
Ronaldo,GPE,https://en.wikipedia.org/wiki/FC_Barcelona
Rivaldo,GPE,https://en.wikipedia.org/wiki/FC_Barcelona
Ronaldinho,ORG,https://en.wikipedia.org/wiki/FC_Barcelona
Lionel Messi,PERSON,https://en.wikipedia.org/wiki/FC_Barcelona
2010,DATE,https://en.wikipedia.org/wiki/FC_Barcelona
Lionel Messi,PERSON,https://en.wikipedia.org/wiki/FC_Barcelona
Andrés Iniesta,PERSON,https://en.wikipedia.org/wiki/FC_Barcelona
Xavi,GPE,https://en.wikipedia.org/wiki/FC_Barcelona
Ballon,ORG,https://en.wikipedia.org/wiki/FC_Barcelona
European Golden Shoe,ORG,https://en.wikipedia.org/wiki/FC_Barcelona
Barcelona,GPE,https://en.wikipedia.org/wiki/FC_Barcelona
1929,DATE,https://en.wikipedia.org/wiki/FC_Barcelona
Athletic Bilbao,ORG,https://en.wikipedia.org/wiki/FC_Barcelona
2009,DATE,https://en.wikipedia.org/wiki/FC_Barcelona
Barcelona,GPE,https://en.wikipedia.org/wiki/FC_Barcelona
Spanish,NORP,https://en.wikipedia.org/wiki/FC_Barcelona
continental,ORG,https://en.wikipedia.org/wiki/FC_Barcelona
UEFA Champions League,ORG,https://en.wikipedia.org/wiki/FC_Barcelona
European,NORP,https://en.wikipedia.org/wiki/FC_Barcelona
a single year,DATE,https://en.wikipedia.org/wiki/FC_Barcelona
the Spanish,EVENT,https://en.wikipedia.org/wiki/FC_Barcelona
Super Cup,EVENT,https://en.wikipedia.org/wiki/FC_Barcelona
UEFA Super Cup,ORG,https://en.wikipedia.org/wiki/FC_Barcelona
2011,DATE,https://en.wikipedia.org/wiki/FC_Barcelona
European,NORP,https://en.wikipedia.org/wiki/FC_Barcelona
Barcelona,GPE,https://en.wikipedia.org/wiki/FC_Barcelona
just four years,DATE,https://en.wikipedia.org/wiki/FC_Barcelona
Champions League,ORG,https://en.wikipedia.org/wiki/FC_Barcelona
2015,DATE,https://en.wikipedia.org/wiki/FC_Barcelona
Luis Enrique,PERSON,https://en.wikipedia.org/wiki/FC_Barcelona
Barcelona,GPE,https://en.wikipedia.org/wiki/FC_Barcelona
European,NORP,https://en.wikipedia.org/wiki/FC_Barcelona
continental,ORG,https://en.wikipedia.org/wiki/FC_Barcelona
22 October 1899,DATE,https://en.wikipedia.org/wiki/FC_Barcelona
Swiss,NORP,https://en.wikipedia.org/wiki/FC_Barcelona
Hans Gamper,PERSON,https://en.wikipedia.org/wiki/FC_Barcelona
Los Deportes,GPE,https://en.wikipedia.org/wiki/FC_Barcelona
29 November,DATE,https://en.wikipedia.org/wiki/FC_Barcelona
Walter Wild,PERSON,https://en.wikipedia.org/wiki/FC_Barcelona
Luis de Ossó,PERSON,https://en.wikipedia.org/wiki/FC_Barcelona
Bartomeu Terradas,PERSON,https://en.wikipedia.org/wiki/FC_Barcelona
Otto Kunzle,PERSON,https://en.wikipedia.org/wiki/FC_Barcelona
Otto Maier,PERSON,https://en.wikipedia.org/wiki/FC_Barcelona
Enric Ducal,PERSON,https://en.wikipedia.org/wiki/FC_Barcelona
Pere Cabot,PERSON,https://en.wikipedia.org/wiki/FC_Barcelona
Carles Pujol,PERSON,https://en.wikipedia.org/wiki/FC_Barcelona
Josep Llobet,PERSON,https://en.wikipedia.org/wiki/FC_Barcelona
John Parsons,PERSON,https://en.wikipedia.org/wiki/FC_Barcelona
William Parsons,PERSON,https://en.wikipedia.org/wiki/FC_Barcelona
Foot-Ball Club Barcelona.[25][26,ORG,https://en.wikipedia.org/wiki/FC_Barcelona
Barcelona,GPE,https://en.wikipedia.org/wiki/FC_Barcelona
the Campionat de Catalunya,ORG,https://en.wikipedia.org/wiki/FC_Barcelona
the Copa del Rey,ORG,https://en.wikipedia.org/wiki/FC_Barcelona
1901,DATE,https://en.wikipedia.org/wiki/FC_Barcelona
the Copa Macaya,ORG,https://en.wikipedia.org/wiki/FC_Barcelona
Hispania AC,ORG,https://en.wikipedia.org/wiki/FC_Barcelona
the following year,DATE,https://en.wikipedia.org/wiki/FC_Barcelona
Barça,PERSON,https://en.wikipedia.org/wiki/FC_Barcelona
"silverware,[27",GPE,https://en.wikipedia.org/wiki/FC_Barcelona
Bizcaya,GPE,https://en.wikipedia.org/wiki/FC_Barcelona
Athletic Club,ORG,https://en.wikipedia.org/wiki/FC_Barcelona
Bilbao FC,ORG,https://en.wikipedia.org/wiki/FC_Barcelona
1908,DATE,https://en.wikipedia.org/wiki/FC_Barcelona
Hans Gamper,PERSON,https://en.wikipedia.org/wiki/FC_Barcelona
