Private Entity,External URI,Confidence
http://example.org/JimmyRimmer,http://www.wikidata.org/entity/Q1370782,1.0
http://example.org/ManchesterUnited,http://www.wikidata.org/entity/Q18656,1.0
http://example.org/Goalkeeper,http://www.wikidata.org/entity/Q201330,1.0
http://example.org/UnitedKingdom,http://www.wikidata.org/entity/Q145,1.0
http://example.org/Southport,http://www.wikidata.org/entity/Q868647,1.0
http://example.org/JovanKirovski,http://www.wikidata.org/entity/Q1382753,1.0
http://example.org/Forward,http://www.wikidata.org/entity/Q280658,1.0
http://example.org/UnitedStates,http://www.wikidata.org/entity/Q30,1.0
http://example.org/Escondido,http://www.wikidata.org/entity/Q372454,1.0
http://example.org/ShaunGoater,http://www.wikidata.org/entity/Q1383907,1.0
http://example.org/Hamilton,http://www.wikidata.org/entity/Q4131,1.0
http://example.org/FrankBarson,http://www.wikidata.org/entity/Q1386222,1.0
http://example.org/Midfielder,http://www.wikidata.org/entity/Q193592,1.0
http://example.org/Sheffield,http://www.wikidata.org/entity/Q42448,1.0
http://example.org/WalterCrickmer,http://www.wikidata.org/entity/Q1392205,1.0
http://example.org/Wigan,http://www.wikidata.org/entity/Q208143,1.0
http://example.org/StanPearson,http://www.wikidata.org/entity/Q1392238,1.0
http://example.org/Salford,http://www.wikidata.org/entity/Q1142118,1.0
http://example.org/LukeDaniels,http://www.wikidata.org/entity/Q1398658,1.0
http://example.org/Bolton,http://www.wikidata.org/entity/Q184579,1.0
http://example.org/JohnThorrington,http://www.wikidata.org/entity/Q1407955,1.0
http://example.org/Johannesburg,http://www.wikidata.org/entity/Q34647,1.0
http://example.org/SimonRatcliffe,http://www.wikidata.org/entity/Q1442442,1.0
http://example.org/Defender,http://www.wikidata.org/entity/Q336286,1.0
http://example.org/Davyhulme,http://www.wikidata.org/entity/Q5242234,1.0
http://example.org/RonaldHaworth,http://www.wikidata.org/entity/Q1484672,1.0
http://example.org/Blackburn,http://www.wikidata.org/entity/Q188313,1.0
http://example.org/GeorgeAlbinson,http://www.wikidata.org/entity/Q1506845,1.0
http://example.org/WingHalf,http://www.wikidata.org/entity/Q8025128,1.0
http://example.org/Prestwich,http://www.wikidata.org/entity/Q1003559,1.0
http://example.org/TomBurke,http://www.wikidata.org/entity/Q1529691,1.0
http://example.org/Wrexham,http://www.wikidata.org/entity/Q496368,1.0
http://example.org/HaroldBratt,http://www.wikidata.org/entity/Q1585776,1.0
http://example.org/Fullback,http://www.wikidata.org/entity/Q90173132,1.0
http://example.org/HarryThomas,http://www.wikidata.org/entity/Q1586858,1.0
http://example.org/Swansea,http://www.wikidata.org/entity/Q23051,1.0
http://example.org/BillyBryant,http://www.wikidata.org/entity/Q1587190,1.0
http://example.org/Durham,http://www.wikidata.org/entity/Q179815,1.0
http://example.org/TomJones,http://www.wikidata.org/entity/Q1587265,1.0
http://example.org/WilliamBryant,http://www.wikidata.org/entity/Q1587351,1.0
http://example.org/UnitedKingdomOfGreatBritainAndIreland,http://www.wikidata.org/entity/Q174193,1.0
http://example.org/Rotherham,http://www.wikidata.org/entity/Q217039,1.0
http://example.org/FrankMann,http://www.wikidata.org/entity/Q1587616,1.0
http://example.org/Nottingham,http://www.wikidata.org/entity/Q41262,1.0
http://example.org/GeorgeHunter,http://www.wikidata.org/entity/Q1587744,1.0
http://example.org/Peshawar,http://www.wikidata.org/entity/Q1113311,1.0
http://example.org/HerbertBirchenough,http://www.wikidata.org/entity/Q1608071,1.0
http://example.org/Crewe,http://www.wikidata.org/entity/Q648810,1.0
